Year,Anchovy,Sardine,Chub mackerel,Horse mackerel,Mackerel,Jack mackerel,Trawlers BOT,Purse seiners BOP,Beach seiners BOB,Other BOC,Trawlers FIT,Purse seiners FIP,Beach seiners FIB,Other FIC,Trawler HPT,Purse seiners HPP,Beach seiners HPB,Other HPC
1964,5449.2,12984.4,1720.7,4022.4,NA,NA,363,307,810,5208,1557,3533,1980,7357,45802,16071,11128,37342
1965,4263.5,10611.1,1278.5,4158.3,NA,NA,356,309,820,5511,1487,3566,1832,7593,45643,16358,11310,40052
1966,5146.4,11437.8,802.6,3012.1,NA,NA,342,320,834,5649,1423,3503,1761,7689,45404,18303,12221,43813
1967,7271.5,8987,1752,2686.4,NA,NA,333,313,837,5700,1404,3309,1730,8111,46565,20849,13116,48534
1968,6352.5,9119.8,2123.7,3185.1,NA,NA,325,316,868,6726,1352,3238,1580,9031,48026,24874,15963,63712
1969,7036.3,10615.3,1344.9,3244.3,NA,NA,343,305,826,6553,1397,2828,1342,8983,51968,27203,17248,69304
1970,6373.2,8822.7,1026.4,2684.4,NA,NA,349,3000,776,810,1431,2818,1271,2092,56584,30837,20119,40107
1971,6369.6,9132.3,927.9,2718.7,NA,NA,349,290,726,960,1356,2534,1137,2339,57973,31352,20610,48169
1972,8494.8,11743.9,945.3,3795.3,NA,NA,343,276,655,943,1325,2749,1183,2326,54857,30379,20285,49744
1973,8064.2,13241.8,1035.2,4657,NA,NA,358,286,775,1161,1436,2660,1099,2645,71804,34336,25487,65176
1974,6174.9,10921.9,895.4,5754,NA,NA,369,296,751,1239,1313,2298,1259,2183,76418,36246,28409,73104
1975,5674.6,12488.2,1361.3,6162.3,NA,NA,378,313,756,1427,1217,2417,1104,2607,87200,39711,31639,86175
1976,9281.4,12674.4,1910.6,7214.2,NA,NA,376,344,735,1547,1261,2558,992,3348,88630,45020,33623,94196
1977,7328.7,12148.5,1921.6,7150,NA,NA,359,336,839,1812,NA,NA,NA,NA,82630,47789,42457,111293
1978,8357.5,11888.1,1941.9,8447,NA,NA,362,336,887,2073,NA,NA,NA,NA,86187,48101,47138,133199
1979,9865.1,12715,1769.1,8310.7,NA,NA,355,333,865,2354,1164,2287,1193,4196,88612,48501,47937,153659
1980,11223.6,12062.3,1373.6,7513.3,NA,NA,353,332,776,2717,NA,NA,NA,NA,90694,48113,45345,181172
1981,9991.5,12454.4,1564,7127.8,NA,NA,355,347,811,3058,1152,2665,1045,5329,92888,51441,48580,202883
1982,14210.2,12376.3,1722.4,6321,286,1613.3,357,341,793,3401,1143,2787,1216,5943,93834,51746,48823,231067
1983,12151.4,10236,3314.2,5758.7,250.3,1791.3,348,350,779,3815,1103,2591,1018,6501,95230,55092,49689,258599
1984,16529.7,10356.2,2743.1,7006.8,575.7,1207.9,337,355,748,4248,NA,NA,NA,NA,99005,58605,48762,281243
1985,17544.3,11490.4,3122.9,8968.3,373.3,1610.9,329,351,699,4508,NA,NA,NA,NA,96918,59744,48243,298273
1986,18338.6,10365.7,2789.5,9961.7,330.4,734,335,354,665,4844,1262,2941,918,8164,102716,66411,47152,321360
1987,24735.6,9685,3165.6,8575,685.1,677.5,313,358,612,5244,NA,NA,NA,NA,101677,68975,44535,351614
1988,19182.1,9831.4,3265.8,6629.8,472.6,863.7,351,401,726,7435,NA,NA,NA,NA,135727,95651,62493,478956
1989,14791,10238.7,4326,6346.7,1181.3,587.9,360,414,721,7526,1276,3270,1064,13350,140755,99959,61949,484827
1990,14668.8,11053,3215.5,5388.9,3524.5,536.6,378,425,718,7647,NA,NA,NA,NA,148170,102787,61630,493418
1991,13626.5,14365.5,3997.8,7103.7,1224.4,566.3,385,431,718,7700,1652,2835,642,15296,150731,104231,61805,495844
1992,11520.1,20691.2,5154.6,8578.1,2182.7,479.9,378,425,718,7645,NA,NA,NA,NA,148170,102787,61630,493395
1993,14604,20701.9,11003.3,8262,1550.7,581.4,378,425,712,7593,NA,NA,NA,NA,147846,103543,61343,489938
1994,17338.8,20272.8,14311.9,11322.8,1360.5,1628.3,375,419,704,7442,1556,2764,1272,14206,146696,102389,60798,478260
1995,13874.4,20413,6469.1,8331.7,687,1861,375,419,703,7467,NA,NA,NA,NA,146410,102246,60658,479238
1996,15071.7,18896.2,6522,8034,887.1,2484.8,385,425,700,7594,NA,NA,NA,NA,148825,102783,60170,486763
1997,14572.2,20468.9,5645.4,7136.5,304.1,2937,344,390,471,5725,1517,2956,946,13690,139394,94194,44565,417808
1998,17530.2,18490.6,2231.8,4522.2,150,1370,334,379,461,6914,NA,NA,NA,NA,131541,90706,41767,438963
1999,16455.5,15213.6,1850.5,3534.1,199.9,942.4,327,364,425,6547,NA,NA,NA,NA,129108,86995,38061,412453
